Table S3 - Differentially expressed genes between paired epithelial and stromal LCM samples (FDR < 0.05)						
GeneSymbol	log2FC	Predicted_Compartment				
MDFIC	1.47	Stromal				
LAMB2	1.47	Stromal				
CYB5R3	1.45	Stromal				
TNS3	1.45	Stromal				
STOM	1.45	Stromal				
ACVR2A	1.44	Stromal				
KCTD20	1.44	Stromal				
ITPR2	1.44	Stromal				
TPP1	1.43	Stromal				
FAM190B	1.43	Stromal				
PACS1	1.43	Stromal				
ZBTB20	1.42	Stromal				
CD81	1.42	Stromal				
THSD4	1.41	Stromal				
SPIN1	1.41	Stromal				
GOLIM4	1.41	Stromal				
ITGB5	1.40	Stromal				
REV3L	1.39	Stromal				
TLN1	1.39	Stromal				
MAPRE2	1.39	Stromal				
MICAL2	1.39	Stromal				
BCAT1	1.38	Stromal				
CREB3L2	1.38	Stromal				
CTSB	1.38	Stromal				
NAP1L1	1.38	Stromal				
PPP3CB	1.38	Stromal				
C2CD2	1.38	Stromal				
ABL2	1.37	Stromal				
LHFPL2	1.37	Stromal				
ATP6V1B2	1.37	Stromal				
ATP10D	1.36	Stromal				
TCEAL4	1.36	Stromal				
SVIL	1.35	Stromal				
FTL	1.35	Stromal				
HERC1	1.35	Stromal				
HLA-DRB1	1.35	Stromal				
TRIO	1.34	Stromal				
VAT1	1.34	Stromal				
TTC3	1.34	Stromal				
HOOK3	1.34	Stromal				
FKBP5	1.34	Stromal				
PIK3R1	1.34	Stromal				
OSBPL8	1.34	Stromal				
ZCCHC11	1.33	Stromal				
GM2A	1.31	Stromal				
NFIX	1.31	Stromal				
KLHDC5	1.31	Stromal				
LSAMP	1.31	Stromal				
SGK1	1.31	Stromal				
CD74	1.31	Stromal				
PDE5A	1.31	Stromal				
CSRP1	1.31	Stromal				
IQSEC1	1.30	Stromal				
MAP4	1.30	Stromal				
ACTN1	1.29	Stromal				
PTPRG	1.29	Stromal				
C3	1.29	Stromal				
C4orf3	1.29	Stromal				
PSAP	1.29	Stromal				
C1orf198	1.28	Stromal				
ITSN1	1.28	Stromal				
BICC1	1.28	Stromal				
DUSP1	1.28	Stromal				
ZNF704	1.27	Stromal				
PNRC1	1.27	Stromal				
SPECC1L	1.27	Stromal				
PRKD3	1.27	Stromal				
PDLIM5	1.26	Stromal				
RHOBTB3	1.26	Stromal				
GABARAP	1.26	Stromal				
CKAP4	1.26	Stromal				
HIVEP2	1.25	Stromal				
PSD3	1.25	Stromal				
CHPF	1.25	Stromal				
GAB1	1.24	Stromal				
ARHGDIB	1.23	Stromal				
ITPRIPL2	1.23	Stromal				
VCAM1	1.23	Stromal				
SNTB2	1.22	Stromal				
PTPN14	1.21	Stromal				
MYADM	1.21	Stromal				
TPM4	1.20	Stromal				
AZI2	1.20	Stromal				
SMAD4	1.20	Stromal				
EEA1	1.20	Stromal				
CEP170	1.19	Stromal				
SEC24D	1.19	Stromal				
RBMS1	1.19	Stromal				
CRIM1	1.18	Stromal				
BMPR2	1.18	Stromal				
ARID5B	1.18	Stromal				
PPIL4	1.17	Stromal				
PHF21A	1.17	Stromal				
FOSL2	1.17	Stromal				
PPFIBP1	1.17	Stromal				
SEC14L1	1.17	Stromal				
SH3BGRL	1.16	Stromal				
MSN	1.16	Stromal				
FRY	1.16	Stromal				
TMTC3	1.15	Stromal				
SDC3	1.14	Stromal				
CNN2	1.14	Stromal				
LDHB	1.14	Stromal				
KIAA0247	1.14	Stromal				
STXBP5	1.14	Stromal				
EHD2	1.14	Stromal				
RBPMS	1.13	Stromal				
KIAA1217	1.13	Stromal				
ZFHX3	1.13	Stromal				
TGFBR1	1.13	Stromal				
EPG5	1.13	Stromal				
CRTC3	1.12	Stromal				
ZNF281	1.12	Stromal				
EIF4G3	1.12	Stromal				
SMAD2	1.12	Stromal				
DMD	1.12	Stromal				
BMP2K	1.12	Stromal				
PHACTR2	1.12	Stromal				
GNAI2	1.11	Stromal				
LIMS1	1.11	Stromal				
SOD2	1.10	Stromal				
TLE4	1.10	Stromal				
FAM114A1	1.10	Stromal				
SPRY1	1.09	Stromal				
SPAG9	1.09	Stromal				
ARHGAP1	1.09	Stromal				
RABEP1	1.08	Stromal				
FAM13B	1.08	Stromal				
PCNX	1.08	Stromal				
LUZP1	1.07	Stromal				
RASAL2	1.07	Stromal				
IL6ST	1.07	Stromal				
RIN2	1.07	Stromal				
TACC1	1.07	Stromal				
EMP1	1.06	Stromal				
MBNL1	1.06	Stromal				
TCF12	1.05	Stromal				
GSN	1.05	Stromal				
MAGED1	1.05	Stromal				
FKBP9	1.05	Stromal				
STK17B	1.05	Stromal				
ELOVL5	1.04	Stromal				
